saison,href,score_equipe_home,score_equipe_away,Possession_de_balle_home,Possession_de_balle_away,Tirs_au_but_home,Tirs_au_but_away,Tirs_cadrés_home,Tirs_cadrés_away,Tirs_non_cadrés_home,Tirs_non_cadrés_away,Tirs_bloqués_home,Tirs_bloqués_away,Corners_home,Corners_away,Sauvetages_du_gardien_home,Sauvetages_du_gardien_away,Coup_francs_home,Coup_francs_away,Hors-jeu_home,Hors-jeu_away,Fautes_home,Fautes_away,Cartons_Jaunes_home,Cartons_Jaunes_away,Passes_home,Passes_away,Cartons_Rouges_home,Cartons_Rouges_away,score_mi_temps_home,score_mi_temps_away,resultat
2024-2025,https://www.flashscore.fr/match/lUAuV225/#/resume-du-match,1,1,0.83,0.17,13.0,2.0,8.0,1.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,4.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.92,0.69,0.0,0.0,1,1,0
2024-2025,https://www.flashscore.fr/match/GGCXWOXh/#/resume-du-match,2,2,0.34,0.66,6.0,7.0,4.0,2.0,1.0,5.0,1.0,0.0,6.0,2.0,1.0,3.0,8.0,4.0,2.0,1.0,4.0,8.0,2.0,1.0,0.74,0.9,0.0,0.0,1,1,0
2024-2025,https://www.flashscore.fr/match/WhvFEsIO/#/resume-du-match,2,0,0.57,0.43,7.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,6.0,7.0,2.0,2.0,7.0,6.0,0.0,0.0,0.85,0.75,0.0,0.0,2,0,-1
2024-2025,https://www.flashscore.fr/match/hM7dRK1U/#/resume-du-match,4,1,0.56,0.44,10.0,2.0,5.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,6.0,5.0,1.0,0.0,5.0,6.0,0.0,0.0,0.84,0.84,0.0,0.0,3,1,-1
2024-2025,https://www.flashscore.fr/match/Awj6G3mC/#/resume-du-match,0,1,0.49,0.51,4.0,9.0,0.0,2.0,3.0,3.0,1.0,4.0,0.0,3.0,2.0,0.0,5.0,6.0,0.0,0.0,6.0,5.0,0.0,0.0,0.88,0.88,0.0,0.0,0,0,1
2024-2025,https://www.flashscore.fr/match/pd4lTtXH/#/resume-du-match,2,1,0.61,0.39,6.0,2.0,1.0,2.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,7.0,0.0,0.0,7.0,4.0,0.0,0.0,0.88,0.79,0.0,0.0,0,1,-1
2024-2025,https://www.flashscore.fr/match/WG42zbvo/#/resume-du-match,3,1,0.57,0.43,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,8.0,1.0,1.0,8.0,11.0,0.0,1.0,0.88,0.82,0.0,0.0,2,0,-1
2024-2025,https://www.flashscore.fr/match/riWEq2Hb/#/resume-du-match,0,0,0.25,0.75,1.0,7.0,0.0,4.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0,0.0,4.0,3.0,1.0,3.0,3.0,4.0,0.0,0.0,0.66,0.91,0.0,0.0,0,0,0
2024-2025,https://www.flashscore.fr/match/6oLxxBFk/#/resume-du-match,2,0,0.61,0.39,12.0,1.0,3.0,0.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,9.0,5.0,2.0,0.0,5.0,9.0,0.0,1.0,0.82,0.68,0.0,0.0,0,0,-1
2024-2025,https://www.flashscore.fr/match/dzY6oOnn/#/resume-du-match,2,1,0.49,0.51,5.0,6.0,0.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.83,0.82,0.0,0.0,0,0,-1
